provenance_schema_version,reliability_case_id,reviewer_order,search_rank,canonical_url,primary_amp_cohort_member,primary_cohort_status,a1_role,a1_train,a1_validation,a1_test,a1_active_demo,a1_reserve_demo,a1_effective_supervised_train,a1_demo_bank_role,a1_m4_demo,a1_existing_prediction_evaluable_without_split_leakage,a2_fold_1_role,a2_fold_1_train,a2_fold_1_validation,a2_fold_1_test,a2_fold_1_active_demo,a2_fold_1_reserve_demo,a2_fold_1_effective_supervised_train,a2_fold_1_demo_bank_role,a2_fold_1_approved_demo_pool_role,a2_fold_1_m4_demo,a2_fold_1_existing_prediction_evaluable_without_split_leakage,a2_fold_2_role,a2_fold_2_train,a2_fold_2_validation,a2_fold_2_test,a2_fold_2_active_demo,a2_fold_2_reserve_demo,a2_fold_2_effective_supervised_train,a2_fold_2_demo_bank_role,a2_fold_2_approved_demo_pool_role,a2_fold_2_m4_demo,a2_fold_2_existing_prediction_evaluable_without_split_leakage,a2_fold_3_role,a2_fold_3_train,a2_fold_3_validation,a2_fold_3_test,a2_fold_3_active_demo,a2_fold_3_reserve_demo,a2_fold_3_effective_supervised_train,a2_fold_3_demo_bank_role,a2_fold_3_approved_demo_pool_role,a2_fold_3_m4_demo,a2_fold_3_existing_prediction_evaluable_without_split_leakage,a2_test_fold_ids,any_effective_supervised_training_exposure,any_active_or_reserve_demo_exposure,evaluation_b_leakage_caution,a1_split_sha256,a2_split_sha256,reliability_sample_sha256,annotation_values_used,case_selection_performed
1.0.0,HRV1-001,1,237,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/usa/2013/docket_number_-_211cr193_2013.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,3,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-002,2,545,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/per/2011/exp._n._01024-2011-phctc.html,0,OUTSIDE_PRIMARY_COHORT,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,OUTSIDE_PRIMARY_COHORT,0,0,0,0,0,0,,,0,0,,0,0,OUTSIDE_PRIMARY_COHORT_NO_EXISTING_M1_M4_EVAL_A_PREDICTION,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-003,3,23,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/gbr/2020/the_queen_on_the_application_of_l_v._the_director_of_public_prosecutions.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,3,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-004,4,202,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/pol/2014/nikolae_l_2014.html,1,IN_PRIMARY_AMP_COHORT,VALIDATION,0,1,0,0,0,0,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TEST,0,0,1,0,0,0,,,0,1,3,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-005,5,38,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/nam/2019/s_v._jonas_cc142017.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-006,6,68,https://www.unodc.org/cld/case-law-doc/moneylaunderingcrimetype/lux/2018/jugt_n_5342018_.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-007,7,54,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/syc/2018/s_v._alam_co_672016_2018_scsc_946_.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,VALIDATION,0,1,0,0,0,0,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-008,8,58,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/cri/2018/13-000227-1219-pe.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-009,9,825,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/_irb/2010/case_of_rantsev_v._cyprus_and_russia_application_no._2596504.html,1,IN_PRIMARY_AMP_COHORT,TRAIN,1,0,0,0,0,1,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
1.0.0,HRV1-010,10,1238,https://www.unodc.org/cld/case-law-doc/traffickingpersonscrimetype/svk/2007/2_to_3792006_.html,1,IN_PRIMARY_AMP_COHORT,TEST,0,0,1,0,0,0,,0,1,TEST,0,0,1,0,0,0,,,0,1,TRAIN,1,0,0,0,0,1,,,0,0,TRAIN,1,0,0,0,0,1,,,0,0,1,1,0,USE_ONLY_SPLIT_SPECIFIC_TEST_PREDICTIONS,63a739fcb5a1d6af67a1ffc414f5b616a1e2ed7d063f7d34358ac7155803293d,75ff2d87531bd9b68d2ee6382354d4191229eda4f3b3396d360349ad76e67f67,ff825d1996ff55a72030ef07835c3b71c318df4f43a40ecb79714c27192794bc,0,0
