reliability_case_id,search_rank,jurisdiction,family,silver_reference_available,silver_labels_json,human_labels_json,shared_labels_json,silver_only_labels_json,human_only_labels_json,category,exact_set_concordance,jaccard
HRV1-014,13,Azerbaijan,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING""]",[],[],EXACT_MATCH,1,1.0
HRV1-003,23,United Kingdom of Great Britain and Northern Ireland,ACT,1,"[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-024,34,Italy,ACT,1,"[""ACT_HARBOURING""]","[""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_HARBOURING""]",[],"[""ACT_RECEIPT""]",HUMAN_BROADER,0,0.5
HRV1-005,38,Namibia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_RECEIPT""]",[],"[""ACT_TRANSFER"",""ACT_HARBOURING""]",HUMAN_BROADER,0,0.6
HRV1-040,52,Netherlands (Kingdom of the),ACT,1,"[""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_HARBOURING""]",[],"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION""]",HUMAN_BROADER,0,0.3333333333333333
HRV1-078,53,Argentina,ACT,1,"[""ACT_RECRUITMENT"",""ACT_HARBOURING""]","[""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_HARBOURING""]","[""ACT_RECRUITMENT""]","[""ACT_TRANSPORTATION""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.3333333333333333
HRV1-007,54,Seychelles,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-008,58,Costa Rica,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]",[],[],EXACT_MATCH,1,1.0
HRV1-006,68,Luxembourg,ACT,1,"[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]",[],[],EXACT_MATCH,1,1.0
HRV1-039,123,Colombia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_TRANSPORTATION"",""ACT_TRANSFER""]","[""ACT_RECRUITMENT""]",[],SILVER_BROADER,0,0.6666666666666666
HRV1-044,127,Greece,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_TRANSFER""]","[""ACT_TRANSPORTATION""]",PARTIAL_OVERLAP_BOTH_HAVE_EXTRAS,0,0.6
HRV1-052,146,North Macedonia,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSPORTATION"",""ACT_HARBOURING""]",[],[],EXACT_MATCH,1,1.0
HRV1-056,167,Dominican Republic,ACT,1,"[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_HARBOURING""]","[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_HARBOURING"",""ACT_RECEIPT""]","[""ACT_RECRUITMENT"",""ACT_TRANSFER"",""ACT_HARBOURING""]",[],"[""ACT_RECEIPT""]",HUMAN_BROADER,0,0.75
