evaluation,label_id,family,support,m3_f1,m4_f1,delta_f1_m4_minus_m3,status,significance_claim,reference_terminology
A1,ACT_RECRUITMENT,Act,208,0.8655256723716381,0.8486352357320099,-0.016890436639628192,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,ACT_TRANSPORTATION,Act,165,0.8228882833787466,0.8111111111111111,-0.011777172267635527,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,ACT_TRANSFER,Act,98,0.41509433962264153,0.38666666666666666,-0.02842767295597487,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,ACT_HARBOURING,Act,122,0.7165354330708661,0.6887966804979253,-0.027738752572940784,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,ACT_RECEIPT,Act,71,0.4689655172413793,0.4426229508196721,-0.02634256642170718,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,MEANS_THREAT_FORCE_OR_COERCION,Means,133,0.7361111111111112,0.734982332155477,-0.0011287789556341243,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,MEANS_ABDUCTION,Means,23,0.36363636363636365,0.4117647058823529,0.048128342245989275,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,MEANS_FRAUD,Means,61,0.2988505747126437,0.34146341463414637,0.042612839921502665,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,MEANS_DECEPTION,Means,133,0.7896678966789668,0.7586206896551724,-0.031047207023794376,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,MEANS_ABUSE_OF_POWER_OR_VULNERABILITY,Means,154,0.6842105263157895,0.7094339622641509,0.025223435948361406,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,MEANS_PAYMENTS_OR_BENEFITS_FOR_CONTROL,Means,28,0.4266666666666667,0.34782608695652173,-0.07884057971014496,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,PURPOSE_SEXUAL_EXPLOITATION,Purpose,202,0.9722921914357683,0.9695431472081218,-0.0027490442276464355,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,PURPOSE_FORCED_LABOUR_OR_SERVICES,Purpose,50,0.6306306306306306,0.7083333333333334,0.07770270270270274,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,PURPOSE_SLAVERY_OR_SIMILAR_PRACTICES,Purpose,13,0.11428571428571428,0.12903225806451613,0.014746543778801843,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,PURPOSE_SERVITUDE,Purpose,14,0.26666666666666666,0.42424242424242425,0.1575757575757576,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,PURPOSE_REMOVAL_OF_ORGANS,Purpose,2,1.0,1.0,0.0,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A1,PURPOSE_OTHER,Purpose,13,0.5161290322580645,0.5161290322580645,0.0,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,ACT_RECRUITMENT,Act,712,0.8824362606232294,0.8663729809104258,-0.016063279712803635,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,ACT_TRANSPORTATION,Act,597,0.8314606741573034,0.8395677472984207,0.00810707314111725,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
A2,ACT_TRANSFER,Act,308,0.4068522483940043,0.35214446952595935,-0.054707778868044954,SUPPORTED,NOT_TESTED_DO_NOT_INFER,SHERLOC Legacy Keywords silver reference
