7. The human set should deliberately contain both complete and missing metadata cases

I would not sample 150 randomly from the 1,263.

Instead, build it to expose precisely this problem.

Something like:

Group A — ordinary/representative cases

~70–80 cases

Mostly from the 1,263 core cohort.

Purpose:

normal extraction quality;
evidence-span validation;
ensure results aren't based only on challenge cases.
Group B — structured metadata exists but narrative support may be weak

~25–30 cases

Purpose:

Can a model reasonably recover the official SHERLOC label from the permitted input?

This identifies input–ground-truth mismatch.

Group C — structured field missing, but narrative may contain the information

~25–30 cases

Purpose:

Does the model extract correct information that SHERLOC structured metadata omitted?

This is potentially one of the most interesting findings in the paper.

Group D — narrative genuinely lacks enough information

~15–20 cases

Purpose:

Does the model abstain instead of hallucinating?

Total:

≈140−160

We can adjust it to 120 if annotation time becomes tight.analysis,population,source,field_or_combination,metric,value,denominator,percentage,notes
availability,all_cases,Legacy,A,available_cases,1404,1590,88.301887,Availability is based only on at least one raw value per required field.
availability,all_cases,Legacy,M,available_cases,1319,1590,82.955975,Availability is based only on at least one raw value per required field.
availability,all_cases,Legacy,P,available_cases,1412,1590,88.805031,Availability is based only on at least one raw value per required field.
availability,all_cases,Legacy,A+M,available_cases,1299,1590,81.698113,Availability is based only on at least one raw value per required field.
availability,all_cases,Legacy,A+P,available_cases,1365,1590,85.849057,Availability is based only on at least one raw value per required field.
availability,all_cases,Legacy,M+P,available_cases,1289,1590,81.069182,Availability is based only on at least one raw value per required field.
availability,all_cases,Legacy,A+M+P,available_cases,1273,1590,80.062893,Availability is based only on at least one raw value per required field.
availability,all_cases,Legacy,none,available_cases,135,1590,8.490566,
availability,all_cases,Sidebar,A,available_cases,365,1590,22.955975,Availability is based only on at least one raw value per required field.
availability,all_cases,Sidebar,M,available_cases,326,1590,20.503145,Availability is based only on at least one raw value per required field.
availability,all_cases,Sidebar,P,available_cases,348,1590,21.886792,Availability is based only on at least one raw value per required field.
availability,all_cases,Sidebar,A+M,available_cases,318,1590,20.0,Availability is based only on at least one raw value per required field.
availability,all_cases,Sidebar,A+P,available_cases,329,1590,20.691824,Availability is based only on at least one raw value per required field.
availability,all_cases,Sidebar,M+P,available_cases,300,1590,18.867925,Availability is based only on at least one raw value per required field.
availability,all_cases,Sidebar,A+M+P,available_cases,293,1590,18.427673,Availability is based only on at least one raw value per required field.
availability,all_cases,Sidebar,none,available_cases,1205,1590,75.786164,
availability,all_cases,Union,A,available_cases,1507,1590,94.779874,Availability is based only on at least one raw value per required field.
availability,all_cases,Union,M,available_cases,1405,1590,88.36478,Availability is based only on at least one raw value per required field.
availability,all_cases,Union,P,available_cases,1501,1590,94.402516,Availability is based only on at least one raw value per required field.
availability,all_cases,Union,A+M,available_cases,1387,1590,87.232704,Availability is based only on at least one raw value per required field.
availability,all_cases,Union,A+P,available_cases,1457,1590,91.63522,Availability is based only on at least one raw value per required field.
availability,all_cases,Union,M+P,available_cases,1369,1590,86.100629,Availability is based only on at least one raw value per required field.
availability,all_cases,Union,A+M+P,available_cases,1353,1590,85.09434,Availability is based only on at least one raw value per required field.
availability,all_cases,Union,none,available_cases,37,1590,2.327044,
legacy_mutually_exclusive_availability,all_cases,Legacy,A only,case_count,13,1590,0.81761,Categories are mutually exclusive and exhaustive.
legacy_mutually_exclusive_availability,all_cases,Legacy,M only,case_count,4,1590,0.251572,Categories are mutually exclusive and exhaustive.
legacy_mutually_exclusive_availability,all_cases,Legacy,P only,case_count,31,1590,1.949686,Categories are mutually exclusive and exhaustive.
legacy_mutually_exclusive_availability,all_cases,Legacy,A+M only,case_count,26,1590,1.63522,Categories are mutually exclusive and exhaustive.
legacy_mutually_exclusive_availability,all_cases,Legacy,A+P only,case_count,92,1590,5.786164,Categories are mutually exclusive and exhaustive.
legacy_mutually_exclusive_availability,all_cases,Legacy,M+P only,case_count,16,1590,1.006289,Categories are mutually exclusive and exhaustive.
