source_row_number,reliability_case_id,review_status,field,severity,blocks_scoring,code,message,raw_value,normalized_value
4,HRV1-003,SUBSTANTIVE,Purpose human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Forced labour or services”, ""Servitude""]","[""Forced labour or services"", ""Servitude""]"
6,HRV1-005,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Recruitment"", “Transportation”, “Transfer"", “Harbouring"",
 “Receipt""]","[""Recruitment"", ""Transportation"", ""Transfer"", ""Harbouring"", ""Receipt""]"
8,HRV1-007,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Deception”, ""Threat or use of force or other forms of coercion”, ""Abuse of power or a position of vulnerability""]","[""Threat or use of force or other forms of coercion"", ""Deception"", ""Abuse of power or a position of vulnerability""]"
8,HRV1-007,SUBSTANTIVE,Purpose human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Forced labour or services”,  ""Slavery or practices similar to slavery""]","[""Forced labour or services"", ""Slavery or practices similar to slavery""]"
9,HRV1-008,SUBSTANTIVE,Geographic Form human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Geographic list syntax/order normalized without semantic mapping,[“Internal”],"[""Internal""]"
10,HRV1-009,SKIP,Purpose human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Other""]","[""Other""]"
11,HRV1-010,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[“Recruitment”, ""Transportation""]","[""Recruitment"", ""Transportation""]"
13,HRV1-012,SUBSTANTIVE,Acts human labeled ,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,[“Recruitment”],"[""Recruitment""]"
13,HRV1-012,SUBSTANTIVE,Geographic Form human labeled,INFO,0,OCG_SPLIT_FROM_GEOGRAPHIC_FORM,Organized Criminal Group extracted into its separate binary field,"[""Internal"", ""Transnational"", ""Organized Criminal Group""]","[""Internal"", ""Transnational""]"
17,HRV1-016,SUBSTANTIVE,Means human labeled,INFO,0,DETERMINISTIC_SYNTAX_NORMALIZATION,Quote/whitespace/list order normalized without semantic mapping,"[""Threat or use of force or other forms of coercion”, ""Deception""]","[""Threat or use of force or other forms of coercion"", ""Deception""]"
